"genotype"	"cell.width"	"cell.height"	"treatment"
"XA53"	88.0905948568136	NA	"A"
"XA53"	6.08455588212237	26.0559386646375	"A"
"control"	45.1097882091068	63.8523313570768	"A"
"control"	68.1218095881864	61.9268849904649	"A"
"XA53"	41.0547926821746	75.066277526319	"B"
"XA53"	95.8796059680171	98.0253592144698	"B"
"XA53"	8.87434647735208	30.9763598340563	"B"
"XA53"	84.0755409632809	57.8306233114563	"A"
"control"	53.0032396973111	50.0095451448113	"B"
"XA53"	20.0074126861058	28.938073812332	"B"
"XA53"	98.1859103226103	43.0599950273521	"A"
"control"	51.0911525296979	61.0055884146132	"B"
"control"	66.105499794241	74.9956652332097	"B"
"XA53"	86.0477956818417	39.1476285435259	"A"
"XA53"	13.9720207838342	15.8788332858123	"B"
"XA53"	97.0246245742776	70.864116240479	"B"
"XA53"	43.1330650943331	88.0141254450195	"B"
"XA53"	82.9224554299377	51.8610431632027	"A"
"XA53"	60.1438012389466	100.15230617011	"B"
"control"	28.879171688389	55.9324698523618	"A"
"XA53"	80.931886679586	21.1940330057405	"A"
"XA53"	54.8597662120126	94.8991558511741	"A"
"control"	50.8674558204599	31.905957800895	"B"
"control"	33.0472167008556	50.1228600198403	"A"
"XA53"	44.8216504501179	88.9674561511725	"B"
"XA53"	48.0017038865946	91.0243807012215	"A"
"XA53"	76.0630469826981	22.0010311385617	"B"
"control"	54.1760545776226	67.192063635122	"A"
"XA53"	73.19546741331	78.8312439627014	"A"
"control"	69.1080646204762	40.0706164141186	"A"
"XA53"	52.8149927762337	38.116800820455	"B"
"XA53"	24.8254402813502	80.084875248652	"A"
"XA53"	75.9710932358168	10.0087094591931	"B"
"control"	37.841550730262	51.002525255736	"A"
"XA53"	100.095386208221	NA	"B"
"control"	58.0876984773204	70.0930744205602	"B"
"XA53"	6.97767143733799	95.1933474981226	"B"
"XA53"	91.1038078950718	NA	"B"
"XA53"	37.886346648261	81.0416916562244	"A"
"XA53"	13.861805931665	60.9046988166869	"A"
"XA53"	16.8168799476698	73.9231785282493	"B"
"control"	65.1530172018334	51.1500754836947	"A"
"XA53"	34.875968444813	85.8949697256088	"A"
"XA53"	72.0470674972981	99.8321854953654	"B"
"XA53"	40.8295437318273	73.0644853354432	"B"
"control"	26.1270236495882	42.0663931692019	"B"
"XA53"	11.1444054931402	23.9347484222613	"A"
"XA53"	38.8808743716218	81.1507685020566	"B"
"XA53"	20.928050004039	75.9642882742919	"A"
"XA53"	95.0287510643713	42.1386991244741	"A"
"XA53"	31.8465264872648	3.11303324708715	"B"
"XA53"	86.0470412123948	40.9136075155809	"A"
"XA53"	41.074989267718	98.993498479668	"B"
"XA53"	42.0361377237365	6.87991488678381	"A"
"XA53"	91.9271392920054	94.1217890262604	"A"
"XA53"	80.9568094507791	87.8134802817367	"B"
"XA53"	31.8998645661399	NA	"B"
"XA53"	25.0437816403806	1.05148130720481	"B"
"XA53"	12.1034675181843	31.8121272597462	"A"
"XA53"	99.0879116348922	44.0726743115112	"B"
"XA53"	94.9401605257764	29.937286726106	"B"
"XA53"	34.1342342212796	14.0996963210404	"A"
"XA53"	78.1385534714907	94.0027394289151	"A"
"XA53"	89.1875089737587	14.8653603645973	"B"
"XA53"	7.87669522380456	40.1627060547471	"B"
"XA53"	92.8612659308128	68.1071847619489	"A"
"XA53"	70.0735007627867	79.1454411787912	"A"
"XA53"	82.9904868206941	15.8971385431476	"A"
"XA53"	5.09597695143893	73.8114333713427	"B"
"control"	38.831291612424	62.0028336256742	"A"
"XA53"	50.8320514554158	79.9140625813045	"A"
"XA53"	19.9218740050681	96.8152395029552	"A"
"XA53"	0.935985886957496	70.0019692324102	"B"
"XA53"	12.8466472756118	41.8766724359244	"A"
"XA53"	57.1837457895279	84.9396305628121	"A"
"XA53"	79.0280587665737	89.0779663568363	"A"
"XA53"	16.0284973100759	33.0665401944891	"A"
"XA53"	94.1589833513834	78.9318268295378	"A"
"XA53"	77.8425216494128	4.87540890499949	"A"
"XA53"	90.117005989328	86.8463370407931	"B"
"XA53"	8.09164746897295	27.1333071759902	"B"
"control"	38.0348723041825	61.9214158358984	"A"
"XA53"	12.887476889696	67.0604881314561	"B"
"XA53"	79.8811183492653	76.133657351695	"B"
"XA53"	8.83328105378896	1.8839124135673	"B"
"XA53"	30.9331317035481	2.13639363963157	"A"
"XA53"	69.0011792112142	100.123060802463	"A"
"XA53"	69.8294729922898	89.0089421765879	"A"
"XA53"	60.9443391806446	100.034250060655	"A"
"XA53"	83.1014220448211	80.8334755216725	"B"
"XA53"	16.0775199812837	5.08923453036696	"A"
"XA53"	53.168885980919	92.9403238343075	"A"
"XA53"	68.1862948896363	99.9828839018941	"A"
"XA53"	64.887371512223	26.0000130854547	"A"
"XA53"	14.9416179600172	63.1693045107648	"B"
"XA53"	3.88695368468761	40.8757148205303	"B"
"XA53"	64.0702729780227	82.9684065143578	"A"
"XA53"	31.9569209268317	20.1985175004229	"B"
"XA53"	2.91784948892891	92.8825647405349	"A"
"XA53"	21.0181616945192	81.8106547133997	"B"
"XA53"	98.0899014812894	31.1054063380696	"B"
"XA53"	59.9153396476991	49.1103248641826	"A"
"XA53"	95.8135228462517	45.9456466759555	"A"
"XA53"	84.8898031904362	35.9394828539342	"A"
"XA53"	91.1366001134738	78.0150830035098	"A"
"XA53"	86.8730296332389	16.8343504773453	"B"
"control"	41.8688957469538	28.0349721836857	"B"
"XA53"	77.1486793539487	38.009046456404	"B"
"XA53"	25.0661022560671	74.9270111280493	"A"
"control"	28.8812005798332	44.923955855146	"A"
"control"	70.0752893228084	54.8373910571448	"B"
"XA53"	95.1950979437679	40.902793007344	"A"
"control"	44.1577451075427	53.102494241856	"B"
"control"	71.1125947153196	48.0954097509384	"B"
"XA53"	31.8670227276161	6.94685324123129	"B"
"XA53"	89.8945118878968	63.1549316319637	"A"
"XA53"	39.8938148540445	37.1908114816993	"A"
"XA53"	6.1112449224107	75.841746069584	"B"
"XA53"	71.9027718825266	22.9454029354267	"A"
"XA53"	1.06442576032132	63.0591030200943	"A"
"XA53"	18.1263788274489	19.1537032301538	"A"
"XA53"	7.15279796365648	72.9823609023355	"A"
"XA53"	84.079022636544	27.8498835591599	"A"
"XA53"	49.1692667017691	20.9615182769485	"B"
"XA53"	94.8746172389947	77.8903077824973	"B"
"XA53"	34.9995071797632	26.0881392060779	"A"
"control"	65.8826926297508	61.9685546544381	"A"
"XA53"	71.9245912378654	88.0660999634303	"A"
"XA53"	8.98341196523979	38.1972076652572	"A"
"XA53"	89.1860779994167	74.1640077030286	"B"
"control"	69.8364868158475	42.1258131362498	"B"
"XA53"	53.8176320712082	NA	"B"
"XA53"	51.8089015608653	77.0034846457653	"B"
"XA53"	1.99150889916345	36.8468991487287	"B"
"XA53"	15.9336484932341	55.9715285023674	"A"
"XA53"	25.0696179577149	20.1274620354176	"B"
"XA53"	23.9395261341706	34.8688191753812	"B"
"XA53"	42.8676016386598	21.9133489547297	"B"
"XA53"	35.0531524983235	56.0163716289215	"A"
"XA53"	2.81851393822581	12.9814713313244	"B"
"XA53"	52.8601503173821	19.9935682854615	"A"
"control"	42.971133735124	45.0583361374214	"B"
"control"	55.8052283803001	63.9352172788233	"A"
"XA53"	28.1694404364564	4.80274680098519	"A"
"XA53"	33.9059219622985	98.0102419996634	"A"
"XA53"	28.1329549641348	38.8628007892519	"B"
"XA53"	19.8063004532829	18.9995229367167	"A"
"XA53"	67.9254356303252	91.0702524425462	"B"
"XA53"	3.97511141169816	52.9832054950297	"A"
"XA53"	27.1787484167144	34.9043953132816	"B"
"XA53"	50.0935428662226	87.8777239213698	"A"
"XA53"	45.0709172284231	30.1332132345997	"B"
"XA53"	63.1618874685839	19.9679505264387	"A"
"XA53"	42.0826130442321	33.1498713262379	"B"
"XA53"	67.9613828730769	89.9702781941742	"B"
"XA53"	80.1849243550561	15.0244578112848	"A"
"control"	44.8552053625695	27.1202936880291	"A"
"XA53"	30.8639300926588	99.9920061778277	"A"
"XA53"	39.1832194250077	25.8721619172022	"A"
"XA53"	27.0321373004466	82.8014296185225	"A"
"control"	56.1291130702943	43.8894716558978	"B"
"XA53"	15.1108863724396	75.9131557499059	"B"
"XA53"	88.0289330361411	16.0811895538121	"A"
"XA53"	5.10290015647188	84.9315503089689	"B"
"XA53"	77.1207112494856	21.0517913633958	"B"
"control"	42.0826629924588	30.0952189204283	"B"
"control"	45.9469718124717	67.0828967674635	"B"
"XA53"	59.0581114174798	74.1099583075382	"A"
"XA53"	23.0291405692697	70.9961646322161	"A"
"XA53"	34.1925656638108	83.8814026167616	"B"
"XA53"	91.9293432080187	81.1444198604673	"B"
"control"	68.1329901745543	66.9446131588891	"A"
"XA53"	13.9008916073479	95.892691967357	"B"
"control"	79.9975847324356	45.0731708269566	"B"
"XA53"	14.8160006904043	10.8193382678553	"B"
"XA53"	10.1205844103359	79.8283838720061	"B"
"XA53"	87.8413373200223	NA	"B"
"XA53"	59.0857339127921	81.0352562144399	"A"
"control"	53.0643931034952	44.8093044615351	"A"
"XA53"	87.1175453505479	71.859137152601	"B"
"XA53"	56.1060766354203	75.0449377319776	"A"
"XA53"	22.0669192500412	21.0988369091414	"A"
"XA53"	97.9496418708935	22.9331810675561	"A"
"control"	53.0957479309291	26.1143787470646	"B"
"XA53"	25.8868719139136	1.09891069531441	"A"
"XA53"	54.837103303615	1.18961648084223	"B"
"control"	56.0555065595545	68.8254953770898	"A"
"XA53"	85.0966328882612	27.9193147434853	"A"
"XA53"	45.8720108381473	13.9727508595213	"A"
"XA53"	79.9858349602669	51.0468460502103	"A"
"XA53"	87.1326348224655	84.1298058198765	"A"
"XA53"	70.8211329407059	20.1662968766876	"B"
"XA53"	69.128821425233	28.826542206388	"B"
"XA53"	45.8146678095683	78.9278022877872	"A"
"XA53"	18.048631931562	21.1365358841605	"A"
"XA53"	0.864830274228007	1.16906138975173	"A"
"control"	50.823366075661	NA	"A"
"XA53"	76.8378109150566	64.1588237253018	"B"
"XA53"	47.0781398593448	7.96686602113768	"B"
"XA53"	12.8199026916176	9.10119140492752	"A"
"XA53"	36.1744233584031	86.8498689438216	"A"
"XA53"	95.9098011124879	70.1537960018963	"A"
"control"	42.13143980233	43.9191250645556	"B"
"XA53"	96.9951741728	85.874797087349	"B"
"XA53"	41.8062585504726	76.9825397980399	"A"
"XA53"	82.1795001273044	66.8502541074529	"B"
"XA53"	32.9168819742277	1.86466436600313	"B"
"XA53"	15.8164613204077	28.9756661186926	"A"
"XA53"	69.0300043669529	8.00496235601604	"B"
"XA53"	96.8721395636909	39.1306786721572	"A"
"XA53"	21.1440445833839	1.09123511435464	"A"
"XA53"	98.095323045738	81.9353739942424	"B"
"XA53"	8.15395140917972	77.8236410333775	"B"
"XA53"	53.965543927718	87.9772128213197	"A"
"XA53"	68.0718733794056	0.814345108997077	"A"
"XA53"	19.1581284907646	94.9109200949781	"A"
"XA53"	59.8838124113157	18.0999776075594	"A"
"XA53"	90.1384686541744	55.0265486597084	"B"
"XA53"	26.1659488907084	81.1204660121352	"A"
"XA53"	54.0446407619864	39.8345617614686	"A"
"XA53"	45.9123927609995	38.0723310462199	"A"
"control"	69.0247640524991	71.8773100025952	"A"
"XA53"	81.0306183201261	28.8556258590892	"B"
"XA53"	47.1235522406176	NA	"A"
"control"	26.8550696670078	52.9057559357025	"A"
"XA53"	3.12234648065642	48.0405825077556	"A"
"control"	67.1347206421196	45.1867505774833	"B"
"XA53"	91.090350383427	13.1863502857275	"A"
"XA53"	83.9921480315737	34.0464613342658	"A"
"XA53"	6.17641087565571	56.1281693524681	"B"
"control"	40.1727437861264	50.8159043097869	"A"
"XA53"	73.1098858786747	NA	"B"
"XA53"	91.1298161728308	17.8074062420987	"B"
"XA53"	44.9577893294394	79.9278788069263	"B"
"XA53"	50.0989820230752	96.0577623271383	"B"
"XA53"	100.118415422179	94.172171195969	"A"
"XA53"	95.1137291832827	38.9050782606006	"B"
"XA53"	82.1186716727912	28.135147461202	"A"
"XA53"	80.1892884013243	29.9612116439268	"A"
"XA53"	46.9090914511122	87.8024960676208	"A"
"XA53"	24.9479713032022	30.1146531924605	"B"
"control"	58.8889395562932	51.09986382192	"B"
"XA53"	16.0930981617421	90.9793100371026	"B"
"XA53"	39.1707438349724	25.1838592116721	"B"
"XA53"	91.0275526187383	54.1962168289349	"A"
"XA53"	27.1189446614124	18.8876835271716	"A"
"XA53"	83.9341616284102	78.1110094795935	"B"
"XA53"	43.8746484641917	15.1618955604732	"A"
"XA53"	33.9460905380547	81.1901031616144	"B"
"XA53"	93.9940508254804	74.1250399108045	"B"
"XA53"	18.8757396926172	68.0177945823409	"B"
"XA53"	55.9161674658768	59.9129876035266	"B"
"XA53"	93.1272274686955	66.1314592043869	"A"
"XA53"	41.1580317453481	14.9721131843515	"A"
"XA53"	97.9315987498499	21.1456700982526	"A"
"XA53"	23.8509833412245	26.835155553557	"A"
"XA53"	64.036653587129	77.977833814919	"B"
"XA53"	84.1758714107796	92.8384485585615	"B"
"XA53"	83.9277577400208	10.8890584778041	"B"
"control"	61.8570985684171	43.0615761579014	"A"
"XA53"	69.8101830422878	99.8108599393629	"A"
"XA53"	72.9987203550525	15.1852264704183	"A"
"XA53"	13.8066793512553	87.1032557541505	"B"
"XA53"	32.8962972384877	95.8551195598207	"A"
"XA53"	82.1832661649212	50.8808763032779	"B"
"XA53"	85.8590811772272	93.1627698162571	"A"
"XA53"	20.9423237397335	90.9787356735207	"A"
"XA53"	37.8784127914347	25.007379911188	"B"
"control"	37.1753390121274	47.9892151710577	"A"
"control"	56.193259849865	25.9219156535342	"B"
"XA53"	6.91965509392321	46.9694777033292	"A"
"XA53"	94.8117250514217	9.01262708427384	"B"
"XA53"	1.15229051075876	94.9606649153866	"B"
"XA53"	61.1448260026984	16.0459777515382	"A"
"XA53"	97.9363611043431	3.89730947660282	"B"
"XA53"	64.0711316947825	81.8043526291847	"A"
"XA53"	66.0442823312245	24.8310544933192	"B"
"control"	47.9369550526142	63.8248549975455	"A"
"XA53"	74.9387891210616	35.0390746884048	"B"
"XA53"	51.0291277262382	78.0502050823532	"A"
"XA53"	21.1644959920086	57.9078381386586	"B"
"control"	29.9893378168344	77.1043374463916	"B"
"XA53"	77.0386192293838	5.98075178014115	"B"
"XA53"	90.8322579080239	82.0921093836427	"B"
"XA53"	55.0990668053739	41.1793829977512	"B"
"XA53"	66.0117991917767	96.8604490214027	"B"
"XA53"	83.1631612860598	5.96512393308803	"B"
"XA53"	8.18018878707662	81.0374988426454	"B"
"XA53"	82.1148891588673	39.0487760771997	"B"
"XA53"	23.124024078995	28.8667670247145	"B"
"XA53"	21.992605154682	52.1532344764098	"A"
"XA53"	9.11267874203622	96.8639606512152	"A"
"XA53"	40.8756606161594	77.085932148993	"B"
"XA53"	95.1489666328766	45.8121625547297	"B"
"XA53"	47.0219120017253	23.0835092304274	"B"
"XA53"	100.152816542704	29.0177862280048	"A"
"control"	45.0324222082272	71.1686816911213	"B"
"XA53"	1.10251794056967	16.1913636815734	"B"
"control"	40.1476554553024	52.8443774214946	"A"
"control"	37.8579258447513	53.1313004206866	"A"
"XA53"	0.997180140484124	5.84736457550898	"B"
"XA53"	16.9576367096975	NA	"A"
"XA53"	86.0520671321079	8.02673659119755	"A"
"XA53"	32.8012677619234	19.0485421144404	"B"
"XA53"	10.1861047890037	84.9495563418604	"B"
"XA53"	2.92407074868679	32.9103059300221	"B"
"XA53"	9.92136366441846	6.13457639422268	"B"
"XA53"	78.9906864084303	3.16035785367712	"A"
"XA53"	94.1485611321405	37.1604823856615	"A"
"XA53"	8.03442464834079	51.0601900241338	"B"
"XA53"	41.1954601515084	45.9836826260202	"B"
"XA53"	27.1665138382465	21.8895377645269	"A"
"XA53"	5.15840500285849	69.0037580218166	"A"
"XA53"	41.0998816622421	4.19768174048513	"A"
"XA53"	65.8668673028238	89.0424022830091	"A"
"XA53"	85.848047579173	72.9898399780504	"A"
"XA53"	90.0196601609699	20.936166671291	"A"
"control"	66.0331047671847	34.0461363073438	"A"
"XA53"	26.1495918993838	4.84658473916352	"A"
"XA53"	78.8784656297416	37.8482369165868	"B"
"XA53"	95.8496544913389	17.0142118161544	"A"
"XA53"	4.90964055284858	7.88751465464011	"B"
"XA53"	35.1071635278873	96.106750053633	"A"
"XA53"	9.01992370653898	76.1265369278379	"A"
"XA53"	48.123170180805	2.14198693297803	"A"
"XA53"	89.8723541931249	7.09395947242156	"B"
"control"	57.9773958781734	42.8176061948761	"B"
"XA53"	53.1707389480434	84.0753052492626	"B"
"XA53"	94.1022681958973	2.9954042638652	"A"
"XA53"	70.134519872535	92.1031132010743	"A"
"XA53"	22.8650261026807	3.83745303023607	"A"
"XA53"	86.8593848569319	65.9158593233675	"B"
"XA53"	9.16552985394373	51.9905442894436	"B"
"XA53"	88.9082252324559	46.9479651864618	"B"
"XA53"	82.9595896023326	20.0578944307752	"A"
"XA53"	84.8074988507666	4.02583668930456	"A"
"XA53"	42.0272761257365	76.0338504401967	"B"
"control"	31.0500465182587	51.1329159183428	"A"
"XA53"	69.0530280865729	81.1691617207602	"B"
"XA53"	90.9041594713926	80.840549516771	"B"
"XA53"	15.1960250385106	58.1555333401077	"A"
"XA53"	21.8563360143453	27.8743490532041	"A"
"XA53"	85.8667854559608	46.0547262392007	"B"
"XA53"	82.8783782932907	4.93309803297743	"B"
"control"	40.9081062402576	NA	"B"
"XA53"	25.1706110660918	12.0378717297688	"B"
"XA53"	59.053203083016	86.8920735875145	"A"
"XA53"	32.1212421630509	NA	"B"
"XA53"	95.9128273113631	52.9781855396926	"A"
"XA53"	29.9484914426692	14.1307831447572	"A"
"XA53"	64.0636910900474	13.1771732054651	"B"
"control"	41.0078039404936	51.8309724995866	"B"
"XA53"	10.9358005106449	17.8935127927922	"B"
"control"	29.0629498566501	66.0008889173157	"B"
"XA53"	98.0707110123709	24.062614851445	"A"
"XA53"	84.941601110436	55.0529698333703	"A"
"XA53"	14.1966915743425	33.8745510057546	"B"
"XA53"	85.0807485886849	75.1246557516977	"A"
"XA53"	27.8254482579418	16.0767625208944	"A"
"control"	75.1408608349971	52.8941522135399	"A"
"XA53"	80.9600926385261	34.9693291602656	"A"
"XA53"	87.0132752044126	73.9350496631116	"B"
"XA53"	18.0466650051996	39.9833557251841	"A"
"XA53"	72.8344559654593	11.191908675991	"A"
"XA53"	100.040192173049	66.0118082326837	"B"
"control"	65.8690298529342	35.8550241614692	"B"
"XA53"	52.0465377632529	78.1808498920873	"B"
"XA53"	35.1258604275994	18.0339279901236	"A"
"XA53"	51.9941331124865	3.92100518094376	"B"
"XA53"	40.1504582163878	81.0067369013093	"A"
"XA53"	25.863201498054	60.1185729702935	"B"
"control"	29.1230629804544	65.0456602839753	"B"
"XA53"	82.1378579538316	49.8614807194099	"B"
"XA53"	8.08728032233194	19.9560431479476	"B"
"XA53"	88.0773521305062	31.1263042207807	"A"
"control"	35.8052604468539	36.9032983545214	"A"
"XA53"	2.00079198759049	4.99930687583983	"A"
"XA53"	49.8103691537865	14.8330383488908	"B"
"XA53"	37.924640718475	83.0187547970563	"A"
"XA53"	20.0266342977993	21.1098914540373	"B"
"XA53"	77.9317745189182	21.1226485687308	"B"
"XA53"	64.0625215200707	2.01788872014731	"B"
"XA53"	27.1506829026155	NA	"B"
"XA53"	99.0654999936	48.1968544623815	"A"
"XA53"	10.0786616957746	69.9148426718079	"B"
"XA53"	92.9694245618768	13.0218200416304	"B"
"XA53"	26.9181977182627	21.0622663557529	"B"
"XA53"	7.02199855037034	25.0746557144448	"A"
"XA53"	15.0558413350955	86.0552942382172	"A"
"XA53"	38.1214853379875	1.0712345296517	"B"
"XA53"	96.8820428578183	95.8335049151443	"A"
"XA53"	95.97029299438	6.00579090164974	"B"
"XA53"	17.8977489794604	50.1820911589079	"A"
"XA53"	28.8828266578726	38.1646855807863	"A"
"control"	30.9490675246343	50.1388308567926	"A"
"XA53"	41.8510322789662	36.9675769683905	"B"
"XA53"	15.8900324926712	81.0598968788981	"B"
"XA53"	52.1680528902449	85.1628995792009	"B"
"XA53"	21.9779114005156	2.03759222142398	"B"
"XA53"	89.9830568204634	67.0571021299809	"A"
"control"	51.9247923587449	62.9976388128474	"A"
"XA53"	16.8157662830316	NA	"A"
"XA53"	44.1214117916301	17.8601424902678	"B"
"XA53"	11.0967273465358	89.8066362862475	"A"
"XA53"	89.8073051927611	96.9320467605256	"B"
"XA53"	41.8510340460576	21.8053649699315	"B"
"XA53"	99.036551058013	85.0734966626391	"B"
"XA53"	36.9892229778692	59.1816926967353	"A"
"XA53"	18.9123909399845	14.1312905700877	"B"
"XA53"	19.0780454074033	49.0166332730092	"A"
"control"	42.8503320909105	41.1706449557096	"B"
"XA53"	37.0393523067236	91.9877947486006	"A"
"XA53"	78.822440617159	47.8378581052646	"A"
"XA53"	58.1166125598364	76.8769164304249	"A"
"XA53"	87.1276371589862	63.1026550756767	"A"
"XA53"	82.9651126794517	54.9499925756827	"A"
"XA53"	67.1753878219053	30.8234903451055	"A"
"control"	63.9603192674927	46.8809580653906	"B"
"XA53"	97.90381829869	60.8746910109185	"A"
"XA53"	42.8666145096533	2.1983460678719	"B"
"XA53"	9.18499612957239	49.1705966457725	"A"
"XA53"	37.0180799968541	94.95292531671	"B"
"XA53"	30.8004462546669	16.8843301810324	"A"
"XA53"	5.99813728779554	24.0501358503476	"A"
"XA53"	74.9037565007806	91.9367203419097	"B"
"XA53"	40.1235729737207	4.86889306558296	"B"
"XA53"	79.1134352933615	30.0169869752601	"B"
"XA53"	89.1419869944453	68.9973183616064	"B"
"XA53"	86.8164960005321	77.1493922336958	"A"
"XA53"	61.113381626457	78.0080039252527	"B"
"XA53"	12.8856021182612	51.8899680656381	"A"
"control"	65.1345663380809	43.0992233492434	"A"
"XA53"	58.9829901999794	97.8884086831473	"A"
"XA53"	84.9968553172424	23.1762206576765	"B"
"XA53"	7.12586169615388	37.1290487878025	"A"
"XA53"	61.9221169208176	98.1106638533063	"B"
"XA53"	32.9946018689312	5.92829039087519	"A"
"XA53"	12.0399946792051	40.9321077987552	"A"
"XA53"	29.9951877432875	99.1098227251321	"B"
"XA53"	28.0314655195922	93.8658639241941	"A"
"XA53"	10.93722408209	12.8707206789404	"A"
"control"	34.0279120258056	36.0881458285265	"B"
"XA53"	11.887403558474	45.8107700283639	"A"
"XA53"	93.138620031625	88.89372194428	"A"
"XA53"	79.8500732054003	34.0524957646616	"A"
"control"	62.0839345356449	33.9574730947614	"B"
"XA53"	46.9926135537215	17.9549446316436	"B"
"XA53"	53.8073226192035	41.1883545823395	"B"
"XA53"	69.8928786531091	71.9506835168227	"A"
"XA53"	15.0630552215502	23.0518844204023	"B"
"XA53"	33.9349417873658	21.0458987673745	"A"
"XA53"	36.8380544163287	84.8221991278231	"B"
"XA53"	29.0895117396489	89.0811360861175	"A"
"XA53"	95.0517008471303	53.0811148565263	"B"
"XA53"	8.90508021488786	26.0732183357701	"B"
"XA53"	99.8840440722182	20.1002666440792	"A"
"control"	36.0467226883396	46.9829829427414	"A"
"XA53"	24.9679516908713	100.086514485627	"B"
"control"	47.9453899214044	29.8155902634375	"A"
"XA53"	1.10004534740001	80.1898285444826	"A"
"XA53"	13.8783033814281	54.8460441014729	"A"
"XA53"	88.1048169023357	56.0086230987683	"B"
"XA53"	66.0377298744395	99.8845462084748	"B"
"XA53"	60.9666368353181	10.0447446922772	"B"
"XA53"	96.8775891042314	30.8521070453338	"B"
"XA53"	86.1900497440249	28.1043432801962	"A"
"XA53"	81.8462981507182	80.1731373725459	"A"
"control"	36.8510002075694	71.8306080684997	"B"
"XA53"	4.88756012078375	30.9230601751246	"A"
"XA53"	27.1612498109229	90.1546818234958	"B"
"XA53"	61.9477325962856	11.9458177425899	"B"
"XA53"	24.8728266628459	14.9411693795584	"B"
"XA53"	36.0772169931792	98.181998212263	"A"
"XA53"	89.0622946330346	49.0846372717991	"A"
"XA53"	70.9856927373446	91.8570119452663	"A"
"XA53"	86.1114924755879	100.171823790763	"B"
"XA53"	0.850500538572669	65.1189136330038	"B"
"XA53"	24.9649067992344	40.9500161012635	"A"
"XA53"	69.8390259789303	18.9275703344494	"A"
"control"	25.1295840597712	45.8706119134091	"A"
"XA53"	5.110782700032	32.945192767866	"A"
"XA53"	10.1401728472672	35.1656101643108	"A"
"control"	70.905431576632	67.1199116216041	"A"
"control"	34.0422169939615	NA	"A"
"XA53"	59.9341423628852	3.15253646485507	"B"
"XA53"	91.1595274761319	62.052402842138	"A"
"XA53"	56.1928328573704	18.1500052484684	"A"
"XA53"	52.1250604509376	96.9926729606464	"A"
"XA53"	57.182878105063	92.1129308668897	"A"
"XA53"	73.8749551512301	20.1414986656047	"A"
"XA53"	14.8889110768214	48.9459414117038	"B"
"XA53"	54.83080164399	16.9770164487883	"B"
"XA53"	58.8877857269719	23.8814494648948	"B"
"control"	33.8998051502742	36.9708131149411	"B"
"XA53"	77.0085329074413	66.885370016098	"B"
"XA53"	92.9362686167471	15.1300347388722	"A"
"control"	56.1749278515577	67.0874719196931	"B"
"control"	49.921155629959	69.9647814823315	"B"
"XA53"	24.8003856430762	57.8350532480516	"B"
"XA53"	82.1185985211283	41.8667854184285	"B"
"XA53"	90.8536137050949	63.0643472027034	"A"
"XA53"	7.81025724429637	69.1183759084903	"A"
"XA53"	28.103409727104	24.1863850076683	"B"
"XA53"	13.112675597053	NA	"B"
"XA53"	47.1042193650268	97.9994650281966	"A"
"XA53"	74.1116848619655	87.0791463417932	"B"
"control"	35.8647563749924	60.0183089558966	"A"
"XA53"	88.830052636005	21.9966574460268	"B"
"XA53"	15.9577955341898	0.833178320713341	"A"
"XA53"	55.9406899855472	97.8998616729863	"B"
"control"	72.0298350358382	65.0062331776135	"A"
"XA53"	3.14366664998233	29.9615665504709	"B"
"XA53"	100.097778315935	8.91207025554031	"A"
"XA53"	71.0690453500487	3.88544716592878	"B"
"XA53"	24.1722590250894	19.9307660596445	"B"
"XA53"	74.150946547091	60.1144837771542	"B"
"XA53"	19.8322634031996	90.8840422037989	"A"
"XA53"	46.9651209386066	35.013697111886	"A"
"control"	66.8681323170662	74.9247767418623	"B"
"XA53"	74.0894884215668	26.1840652260929	"B"
"XA53"	7.93472317196429	25.9705986063927	"B"
"XA53"	92.9715818063356	4.16466493830085	"A"
"XA53"	53.8783063918352	82.0122862646356	"B"
"XA53"	70.093344152905	36.0415801082738	"B"
"XA53"	25.8810180297121	19.1973268523812	"B"
"XA53"	96.0087429815903	72.1954076245427	"B"
"XA53"	50.1075914741494	11.8225923066027	"A"
"XA53"	19.0318327756599	80.0374124339782	"A"
"XA53"	45.9994677629322	86.8418425564654	"B"
"control"	58.0285145579837	28.010631156154	"B"
"control"	45.1454771445133	52.0321427613497	"B"
"XA53"	38.1947020969354	91.0739885475487	"B"
"XA53"	28.8548850446939	11.8944064078853	"A"
"XA53"	55.1693376996554	5.99485383434221	"A"
"XA53"	59.1310869955458	12.1098629174754	"A"
"control"	69.091629168205	77.9013455113396	"B"
"XA53"	45.8197569195181	89.9463768986985	"B"
"XA53"	75.9418390322477	81.9290437404066	"B"
"XA53"	46.0082094698213	13.1520823281258	"B"
"XA53"	85.850182065554	98.9379722787999	"B"
"XA53"	23.1205880875699	69.9974242647178	"A"
"XA53"	29.8495729407296	85.1970006418414	"B"
"XA53"	21.8803822617047	9.85266189975664	"A"
"XA53"	1.12333928588778	35.0485123257153	"B"
"control"	44.884143609833	44.8679981389083	"A"
"XA53"	82.0661030699499	76.1945835415274	"A"
"XA53"	76.9170727535151	82.8077873878181	"B"
"XA53"	15.8570200474001	16.9211378966458	"B"
"XA53"	92.1746104782447	61.0990083209239	"B"
"XA53"	29.8840404916555	35.8825768725015	"A"
"XA53"	89.9779064841568	15.9808160131797	"A"
